Prod ID,KPC Code,Portfolio,Initiative Name ,Start,End,Domain Owner,Lead,Tech Lead,Squads,Estado,BRM & Scope,L1 Domain,L2 Capability,L3 Capabilities,IT Service Codes,IT Services
IDPRD-001,,Plataforma,Portal Empresa,Q1-26,Q2-26,DPI ( Rosa María Orellana),Kari,Arley,Nova,Definición,,Customer Lifecycle,Customer Portal,Company Profile & Configuration | User & Role Management | Developer Console / Keys | Audit Logs & Activity,ITS-001,ITS-001: Portal Empresa (Company Portal)
IDPRD-002,,Plataforma,Portal Admin Onboarding 1.0,Q1-26,Q2-26,DPI ( Rosa María Orellana),RM MARIA,Arley,Nova,Definición,,Customer Lifecycle,Onboarding Operations,KYC/KYB Intake | Account Provisioning | Workflow & Approvals | Go-live Checklist,ITS-002 | ITS-001,ITS-002: Onboarding Admin Portal | ITS-001: Portal Empresa (Company Portal)
IDPRD-003,,VAR,Cobranza Inteligente,Q1-26,Q2-26,DPI ( Rosa María Orellana),TBD,TBD,Nova,Definición,https://kashio-dev.atlassian.net/wiki/spaces/KPRDI/pages/2301919314/Cobranza+Inteligente,Financial Operations,Collections Management,Customer Segmentation & Dunning | Omnichannel Outreach | Promise-to-Pay Tracking | Collections Analytics,ITS-007,ITS-007: Collections (Cobranza) Service
IDPRD-004,,VAR,Reconciliación Inteligente,Q4- 25,Q3-26,DPI ( Rosa María Orellana),Kari,Jc Solorzano,SQ 2,Definición,,Financial Operations,Reconciliation Management,Statement Ingestion | Bank Statement Matching | Exception Handling | Reconciliation KPIs & Observability,ITS-006,ITS-006: Reconciliation Management Service
IDPRD-006,,AI Initiatives,AI Content AI - Squad ProductAI,Q5-25,Q1-26,DPI ( Rosa María Orellana),Kentaro,Dennys,SQ AI,En Diseño,,Data & AI,AI Content Pipelines,Prompt/Template Library | Content Generation Pipelines | Human Approval Workflow | Publishing & Analytics,ITS-019,ITS-019: AI Content Pipelines (ARIA/ProductAI)
IDPRD-007,,Strat Bets,KCOIN - Infra Blockchain2,TBD,TBD,DPI ( Rosa María Orellana),TBD,TBD,Nova,Pendiente,,Blockchain,Tokenization & Settlement,Token Ledger Integration | On-chain Settlement Flows | Compliance & Monitoring | Wallet/Key Management,ITS-023,ITS-023: Blockchain Settlement (KCOIN)
IDPRD-008,,AI Initiatives,AI Patterns UI/UX,Q1- 26,Q1-26,DPI ( Rosa María Orellana),Giovanni,Arley,Nova,Pendiente,,Platform,Design System,AI UI Patterns | Component Library | UX Guidelines | Telemetry for UX,ITS-022,ITS-022: Design System (AI Patterns UI/UX)
IDPRD-009,,AI Initiatives,Motor Matching con ML para todo,Q1-26,TBD,DPI ( Rosa María Orellana),Maria,Arley / Luis,Nova,Pendiente,,Platform,Matching Engine,Matching Models (ML) | Rules + ML Hybrid Matching | Training Data & Feedback Loop | Matching Accuracy KPIs,ITS-999,ITS-999: General Platform Service
IDPRD-010,,Core,Core Financiero KLedger,Q1-26,TBD,DPI ( Rosa María Orellana),Rossana,Rossana,Nova,Definición,,Financial Operations,Ledger & Accounting,Double-entry Ledger | Posting Rules | Balances & Reports | Audit & Compliance,ITS-010,ITS-010: Ledger Service (Core Financiero)
IDPRD-011,,Core,Soporte de ERP,Q1-26,Q3-26,DPI ( Rosa María Orellana),Rossana,TBD,Nova,Definición,,Integrations,ERP Integration,ERP Connectors | Mapping & Transformations | Posting/Settlement Sync | Reconciliation Support,ITS-028,ITS-028: ERP Integration Service
IDPRD-012,,Strat Bets,Adquirencia Regional,Q4-26,Q2-27,DPI ( Rosa María Orellana),"RM
MARIA",TBD,Nova,Pendiente,,Payments,Card Acquiring,Merchant Onboarding | Authorization & Capture | Settlement & Funding | Disputes/Chargebacks,ITS-027,ITS-027: Card Acquiring Service
IDPRD-013,,Rails & Integration,Onboarding Digital para PSP,Jan-26,mar-26,DP (Carlos Villarán),Carlos Villaran,TBD,SQ 4,Definición,,Connectivity & Partners,Rail/PSP Onboarding,Contracting & Credentials | Sandbox & Certification | Rail Enablement Checklist | Operational SLAs & Monitoring,ITS-016 | ITS-002,ITS-016: Rail/PSP Onboarding Service | ITS-002: Onboarding Admin Portal
IDPRD-014,,AI Initiatives,Proceso AI para crear SDKs customizable para Empresas,Dec-25,Jan-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ 4,En Curso,,Developer Platform,SDK Management,SDK Template Generation | Client-specific Customization | Documentation Automation | Versioning & Release,ITS-014,ITS-014: Developer SDK Factory
