L1 Domain,L2 Capability,L3 Capability,Projects,Initiatives,Squads,Count
Blockchain,Tokenization & Settlement,Compliance & Monitoring,IDPRD-007,KCOIN - Infra Blockchain2,Nova,1
Blockchain,Tokenization & Settlement,On-chain Settlement Flows,IDPRD-007,KCOIN - Infra Blockchain2,Nova,1
Blockchain,Tokenization & Settlement,Token Ledger Integration,IDPRD-007,KCOIN - Infra Blockchain2,Nova,1
Blockchain,Tokenization & Settlement,Wallet/Key Management,IDPRD-007,KCOIN - Infra Blockchain2,Nova,1
Connectivity & Partners,Bank Connectivity,Bank Acknowledgements,IDPRD-039,Host to Host,SQ3,1
Connectivity & Partners,Bank Connectivity,File Exchange (SFTP/API),IDPRD-039,Host to Host,SQ3,1
Connectivity & Partners,Bank Connectivity,Host-to-Host Integration,IDPRD-039,Host to Host,SQ3,1
Connectivity & Partners,Bank Connectivity,Operational Monitoring,IDPRD-039,Host to Host,SQ3,1
Connectivity & Partners,Rail/PSP Onboarding,Contracting & Credentials,IDPRD-013,Onboarding Digital para PSP,SQ 4,1
Connectivity & Partners,Rail/PSP Onboarding,Operational SLAs & Monitoring,IDPRD-013,Onboarding Digital para PSP,SQ 4,1
Connectivity & Partners,Rail/PSP Onboarding,Rail Enablement Checklist,IDPRD-013,Onboarding Digital para PSP,SQ 4,1
Connectivity & Partners,Rail/PSP Onboarding,Sandbox & Certification,IDPRD-013,Onboarding Digital para PSP,SQ 4,1
Customer Lifecycle,Customer Portal,Audit Logs & Activity,IDPRD-001,Portal Empresa,Nova,1
Customer Lifecycle,Customer Portal,Company Profile & Configuration,IDPRD-001,Portal Empresa,Nova,1
Customer Lifecycle,Customer Portal,Developer Console / Keys,IDPRD-001,Portal Empresa,Nova,1
Customer Lifecycle,Customer Portal,User & Role Management,IDPRD-001,Portal Empresa,Nova,1
Customer Lifecycle,Onboarding Operations,Account Provisioning,IDPRD-002,Portal Admin Onboarding 1.0,Nova,1
Customer Lifecycle,Onboarding Operations,Go-live Checklist,IDPRD-002,Portal Admin Onboarding 1.0,Nova,1
Customer Lifecycle,Onboarding Operations,KYC/KYB Intake,IDPRD-002,Portal Admin Onboarding 1.0,Nova,1
Customer Lifecycle,Onboarding Operations,Workflow & Approvals,IDPRD-002,Portal Admin Onboarding 1.0,Nova,1
Data & AI,AI Agentic Framework,Agent Monitoring & Eval,IDPRD-043,KAIA - Kashio AI Agentic Framework,SQ AI,1
Data & AI,AI Agentic Framework,Knowledge/RAG Layer,IDPRD-043,KAIA - Kashio AI Agentic Framework,SQ AI,1
Data & AI,AI Agentic Framework,Safety & Governance,IDPRD-043,KAIA - Kashio AI Agentic Framework,SQ AI,1
Data & AI,AI Agentic Framework,Workflow Orchestration,IDPRD-043,KAIA - Kashio AI Agentic Framework,SQ AI,1
Data & AI,AI Content Pipelines,Content Generation Pipelines,"IDPRD-006, IDPRD-045","AI Content AI - Squad ProductAI | ARIA (Ai Content Generation, pipelines de generacion)",SQ AI,2
Data & AI,AI Content Pipelines,Human Approval Workflow,"IDPRD-006, IDPRD-045","AI Content AI - Squad ProductAI | ARIA (Ai Content Generation, pipelines de generacion)",SQ AI,2
Data & AI,AI Content Pipelines,Prompt/Template Library,"IDPRD-006, IDPRD-045","AI Content AI - Squad ProductAI | ARIA (Ai Content Generation, pipelines de generacion)",SQ AI,2
Data & AI,AI Content Pipelines,Publishing & Analytics,"IDPRD-006, IDPRD-045","AI Content AI - Squad ProductAI | ARIA (Ai Content Generation, pipelines de generacion)",SQ AI,2
Data & AI,AI Product Tooling,Pricing/Quote Automation,IDPRD-046,"AI enabled Product Tooling (BizProposal, product selector usando KPC",SQ AI,1
Data & AI,AI Product Tooling,Product Selector (KPC),IDPRD-046,"AI enabled Product Tooling (BizProposal, product selector usando KPC",SQ AI,1
Data & AI,AI Product Tooling,Proposal Generation,IDPRD-046,"AI enabled Product Tooling (BizProposal, product selector usando KPC",SQ AI,1
Data & AI,AI Product Tooling,Sales Enablement Analytics,IDPRD-046,"AI enabled Product Tooling (BizProposal, product selector usando KPC",SQ AI,1
Data & AI,Product Data Platform,Analytics & BI Layer,IDPRD-044,DataBridge (Product DataLake),SQ AI,1
Data & AI,Product Data Platform,Data Quality & Lineage,IDPRD-044,DataBridge (Product DataLake),SQ AI,1
Data & AI,Product Data Platform,Ingestion Pipelines,IDPRD-044,DataBridge (Product DataLake),SQ AI,1
Data & AI,Product Data Platform,Unified Data Model,IDPRD-044,DataBridge (Product DataLake),SQ AI,1
Developer Platform,SDK Management,Client-specific Customization,"IDPRD-014, IDPRD-015",Proceso AI para crear SDKs customizable para Empresas | Proceso AI para crear SDKs customizable para PSP o Rieles,SQ 4,2
Developer Platform,SDK Management,Documentation Automation,"IDPRD-014, IDPRD-015",Proceso AI para crear SDKs customizable para Empresas | Proceso AI para crear SDKs customizable para PSP o Rieles,SQ 4,2
Developer Platform,SDK Management,SDK Template Generation,"IDPRD-014, IDPRD-015",Proceso AI para crear SDKs customizable para Empresas | Proceso AI para crear SDKs customizable para PSP o Rieles,SQ 4,2
Developer Platform,SDK Management,Versioning & Release,"IDPRD-014, IDPRD-015",Proceso AI para crear SDKs customizable para Empresas | Proceso AI para crear SDKs customizable para PSP o Rieles,SQ 4,2
