Prod ID,KPC Code,Portfolio,Initiative Name ,Start,End,Domain Owner,Lead,Tech Lead,Squads,Estado,BRM & Scope
IDPRD-001,,Plataforma,Portal Empresa,Q1-26,Q2-26,DPI ( Rosa María Orellana),Kari,Arley,Nova,Definición,
IDPRD-002,,Plataforma,Portal Admin Onboarding 1.0,Q1-26,Q2-26,DPI ( Rosa María Orellana),RM MARIA,Arley,Nova,Definición,
IDPRD-003,,VAR,Cobranza Inteligente,Q1-26,Q2-26,DPI ( Rosa María Orellana),TBD,TBD,Nova,Definición,https://kashio-dev.atlassian.net/wiki/spaces/KPRDI/pages/2301919314/Cobranza+Inteligente
IDPRD-004,,VAR,Reconciliación Inteligente,Q4- 25,Q3-26,DPI ( Rosa María Orellana),Kari,Jc Solorzano,SQ 2,Definición,
IDPRD-006,,AI Initiatives,AI Content AI - Squad ProductAI,Q5-25,Q1-26,DPI ( Rosa María Orellana),Kentaro,Dennys,SQ AI,En Diseño,
IDPRD-007,,Strat Bets,KCOIN - Infra Blockchain2,TBD,TBD,DPI ( Rosa María Orellana),TBD,TBD,Nova,Pendiente,
IDPRD-008,,AI Initiatives,AI Patterns UI/UX,Q1- 26,Q1-26,DPI ( Rosa María Orellana),Giovanni,Arley,Nova,Pendiente,
IDPRD-009,,AI Initiatives,Motor Matching con ML para todo,Q1-26,TBD,DPI ( Rosa María Orellana),Maria,Arley / Luis,Nova,Pendiente,
IDPRD-010,,Core,Core Financiero KLedger,Q1-26,TBD,DPI ( Rosa María Orellana),Rossana,Rossana,Nova,Definición,
IDPRD-011,,Core,Soporte de ERP,Q1-26,Q3-26,DPI ( Rosa María Orellana),Rossana,TBD,Nova,Definición,
IDPRD-012,,Strat Bets,Adquirencia Regional,Q4-26,Q2-27,DPI ( Rosa María Orellana),"RM
MARIA",TBD,Nova,Pendiente,
IDPRD-013,,Rails & Integration,Onboarding Digital para PSP,Jan-26,mar-26,DP (Carlos Villarán),Carlos Villaran,TBD,SQ4,Definición,
IDPRD-014,,AI Initiatives,Proceso AI para crear SDKs customizable para Empresas,Dec-25,Jan-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ4,En Curso,
IDPRD-015,,AI Initiatives,Proceso AI para crear SDKs customizable para PSP o Rieles,Dec-25,Jan-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ4,En Curso,
IDPRD-016,,AI Initiatives,Payin PSP proxy Hub's - IA,Jan-26,feb-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ4,En Curso,
IDPRD-017,,AI Initiatives,Payout PSP proxy Hub's - IA,Jan-26,feb-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ4,En Curso,
IDPRD-018,,PriceOps,Routing PAYOUT- Patrones,Jan-26,feb-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ4,En Curso,
IDPRD-019,,Rails & Integration,COGS-RAIL - Ruteo general de precios,Jan-26,mar-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
IDPRD-020,,Rails & Integration,Observabilidad y Reportes,feb-26,mar-26,DP (Carlos Villarán),Dennys y Jime,TBD,SQ4,Pendiente,
IDPRD-021,,Rails & Integration,PLAYBOOK para apertura de nuevos mercado,ene-26,ene-26,DP (Carlos Villarán),Carlos Villaran,TBD,SQ4,Pendiente,
IDPRD-022,,Rails & Integration,MEX: Estabilidad Mercado Payin y Payout,Apr-26,Apr-26,DP (Carlos Villarán),Dennys Contreras,TBD,SQ 2,En Curso,
IDPRD-023,,Rails & Integration,CHL: Estabilidad Mercado Payin y Payout,feb-26,may-26,DP (Carlos Villarán),Jime More,TBD,"SQ4, SQ1",En Curso,
IDPRD-024,,Rails & Integration,COL: Apertura Mercado Payin y Payout,feb-26,Apr-26,DP (Carlos Villarán),Dennys Contreras,TBD,"SQ4, SQ2",En Curso,
IDPRD-025,,Rails & Integration,PER: Estabilidad Mercado Payin y Payout,Jan-26,mar-26,DP (Carlos Villarán),Jime More,TBD,"SQ4, SQ1",En Curso,
IDPRD-026,,Rails & Integration,ECU: Apertura Mercado Payin y Payout,Q1-26,Q1-26,DP (Carlos Villarán),TBD,TBD,SQ4,Pendiente,
